hue,saturation,value,skin_tone
19.4327,113.4229,160.6385,dark
21.1781,98.1327,140.9573,dark
40.2101,55.4544,144.7225,dark
16.0331,86.9359,204.8421,dark
24.3846,124.4067,132.5622,dark
40.8278,76.6579,82.9663,dark
144.5939,71.5699,83.9638,dark
24.2381,83.9638,141.0492,dark
34.2673,81.6888,111.6196,dark
9.1813,124.643,133.1706,dark
16.8295,113.2752,170.5281,dark
30.6583,125.1707,144.6383,dark
42.3487,78.4004,102.2402,dark
15.9475,153.2565,118.0405,dark
51.8699,87.6434,93.686,dark
15.0157,115.5043,130.7129,dark
21.3021,101.954,118.7225,dark
53.0635,105.1058,120.6573,dark
71.5227,118.59,114.6111,dark
44.1311,129.2539,121.7189,dark
29.265,93.6029,134.089,dark
133.7432,61.6026,119.2603,dark
42.7683,133.3931,120.878,dark
26.199,83.5064,122.6661,dark
20.6717,111.1306,117.2658,dark
50.8591,155.2989,165.2383,dark
58.3064,47.5419,145.2186,dark
21.4996,147.134,147.2843,dark
17.9273,87.598,97.4039,dark
28.2099,127.8028,121.361,dark
13.0611,134.382,164.0596,dark
21.5721,112.9553,144.2878,dark
46.3525,75.1118,93.9432,dark
19.5862,114.7144,173.2863,dark
16.0919,91.8656,123.2532,dark
19.9068,140.8771,151.6246,dark
25.057,95.1918,115.5687,dark
18.8743,117.2627,102.844,dark
10.2025,135.4935,122.7573,dark
12.6245,133.6926,136.0561,dark
18.6843,120.6602,79.3319,dark
46.7536,72.0877,125.49,dark
47.5394,113.9399,140.5824,dark
21.4845,158.2672,152.77,dark
23.865,105.3965,85.1256,dark
23.0898,85.9883,127.3381,dark
48.4253,98.5761,139.424,dark
15.9955,122.8949,112.7891,dark
50.6655,67.194,87.4575,dark
17.9472,65.1666,151.4094,dark
66.8506,114.521,112.4651,dark
61.5803,148.4225,164.9764,dark
16.828,101.5305,117.3263,dark
18.5608,155.1365,105.7736,dark
14.1906,112.4192,165.3824,dark
17.0838,154.4724,153.2608,dark
26.498,110.9895,93.9974,dark
54.5611,127.2988,71.0077,dark
17.7618,100.1438,108.8501,dark
24.1249,128.8808,152.2881,dark
23.3854,67.1352,81.7511,dark
23.5989,112.849,148.3143,dark
13.339,108.766,179.2536,dark
23.6403,110.9978,147.8524,dark
12.7775,111.0229,129.4943,dark
34.9495,141.5291,127.0934,dark
57.649,73.5514,145.2259,dark
26.8551,182.6443,171.4094,dark
26.8614,86.624,107.003,dark
44.959,49.5517,125.6701,dark
9.6673,124.1691,152.0051,dark
19.2137,109.8209,184.6846,dark
29.8787,84.6303,145.6562,dark
14.4361,118.1416,163.124,dark
8.8144,146.8954,112.6761,dark
16.0522,131.157,164.4106,dark
14.7539,144.5997,137.4713,dark
17.4746,98.2633,173.9104,dark
16.4571,136.1336,156.1006,dark
34.5433,78.6885,77.2232,dark
47.5202,109.0895,104.5344,dark
11.6645,167.5301,81.6569,dark
96.7855,93.9528,86.7856,dark
27.5029,86.2984,77.5811,dark
12.954,161.8285,157.3264,dark
12.7214,109.7026,149.8205,dark
21.506,115.6899,157.3078,dark
21.0924,82.2576,132.6072,dark
45.9569,105.6871,175.4773,dark
11.9563,126.8275,147.5005,dark
11.2351,113.481,116.1951,dark
17.1353,169.6816,98.5735,dark
21.0336,97.234,133.5349,dark
20.2097,103.4369,140.8034,dark
13.9612,168.6227,173.0867,dark
22.9924,149.6992,122.7745,dark
18.7223,120.0134,86.9911,dark
13.7484,64.75,142.0584,dark
10.5584,148.621,119.0193,dark
31.8885,110.4445,150.8382,dark
64.6083,105.4047,85.2732,dark
42.6795,113.1601,119.3462,dark
40.955,132.8755,112.3588,dark
37.1396,111.528,153.2925,dark
31.6864,121.0128,114.1582,dark
34.3416,127.9179,99.9055,dark
30.2079,78.2075,102.1955,dark
58.6672,87.8554,128.3384,dark
12.175,141.4243,112.7751,dark
15.929,127.385,166.5578,dark
16.4323,128.5312,165.6044,dark
16.9097,118.5132,186.2711,dark
17.4237,131.9746,167.0016,dark
22.6924,94.904,97.1205,dark
13.6939,154.3028,159.6892,dark
12.1397,133.1277,168.7218,dark
38.3863,118.0119,178.0005,dark
167.3847,150.3535,162.7311,dark
36.5815,89.7124,138.8104,dark
19.1596,103.7294,135.5677,dark
20.3509,74.9746,178.5623,dark
138.5319,135.8365,140.4131,dark
17.4237,131.9746,167.0016,dark
26.6442,66.8945,111.905,dark
23.9261,89.178,162.7164,dark
37.158,161.8823,122.2342,dark
56.2702,70.722,87.3988,dark
24.4604,74.8303,130.6038,dark
27.5,98.6124,164.215,dark
21.0266,137.7923,97.0979,dark
34.2374,96.9964,113.7195,dark
26.0336,89.5974,137.0999,dark
12.4688,167.6031,160.0192,dark
33.8534,68.4712,89.6474,dark
14.4603,133.6279,98.9728,dark
19.936,71.5627,151.4368,dark
18.895,110.7781,115.3444,dark
15.5191,149.3395,128.8187,dark
27.7156,140.309,119.3843,dark
12.7172,98.6286,142.456,dark
25.7617,86.2319,90.0465,dark
18.3975,77.7533,106.4086,dark
14.9628,145.267,124.8452,dark
38.8081,130.6847,134.4237,dark
66.9527,102.2882,125.6258,dark
18.8228,151.0303,103.5036,dark
18.1749,102.4984,166.1039,dark
49.012,82.7691,132.9892,dark
19.6355,129.1873,153.071,dark
82.1792,77.0968,67.2056,dark
26.373,116.0179,169.3375,dark
20.5349,68.3013,78.7842,dark
19.2536,118.7627,157.5946,dark
23.337,158.0904,117.7766,dark
15.1365,171.3474,101.8124,dark
12.6589,147.27,133.9077,dark
11.729,123.6452,127.2164,dark
24.3059,134.0112,88.594,dark
52.1567,69.6261,131.6248,dark
127.5524,143.2464,155.0968,dark
16.2148,154.9763,126.0967,dark
12.7831,183.0191,132.2838,dark
29.7421,140.8926,152.2272,dark
16.4907,136.9986,128.9402,dark
19.4415,152.0733,121.8868,dark
32.4815,154.4007,144.9787,dark
29.4741,98.551,84.4455,dark
24.8264,155.5262,60.0454,dark
11.1708,100.9188,97.8928,dark
13.1464,153.3868,126.4632,dark
25.7232,97.5574,132.6193,dark
10.7576,99.2031,100.8475,dark
24.5283,76.2329,183.2452,dark
21.173,143.9091,133.364,dark
21.7657,153.5423,88.4396,dark
16.0037,157.615,102.2669,dark
38.4073,159.4394,124.5343,dark
38.2801,83.7104,90.291,dark
67.7943,99.7691,112.5612,dark
43.0704,59.9828,119.5814,dark
21.0484,122.122,63.9892,dark
10.8495,117.0359,82.5913,dark
57.1411,62.2357,117.1608,dark
63.7238,61.8337,84.7661,dark
18.5404,116.2368,127.1625,dark
16.827,121.3267,139.7749,dark
19.3005,77.6934,119.6244,dark
18.2074,101.7054,120.4199,dark
16.3197,82.2043,132.2396,dark
22.4398,99.6372,108.6242,dark
28.0034,156.4329,119.795,dark
18.7126,136.9565,102.6805,dark
9.9741,95.5299,126.768,dark
54.1739,102.1032,108.7005,dark
15.2242,96.768,117.7899,dark
65.2462,139.6741,101.3002,dark
18.2381,112.8516,118.3387,dark
52.0415,72.917,100.558,dark
26.7011,145.8733,117.45,dark
26.7238,164.0566,89.5064,dark
19.6289,133.6896,118.5278,dark
46.7707,151.235,102.4216,dark
11.8093,161.3758,95.8627,dark
8.9917,168.3148,128.8072,dark
18.5297,149.9092,147.6034,dark
11.8855,142.5325,102.737,dark
32.8247,149.8385,112.9543,dark
24.0432,126.9574,135.1048,dark
41.9121,101.6383,113.2418,dark
23.3502,115.2796,151.8934,dark
56.5107,91.6123,91.7524,dark
41.834,88.3397,180.6461,dark
19.4217,146.2538,160.0055,dark
9.2843,124.1538,130.4774,dark
70.6819,95.9498,102.2632,dark
12.7529,184.4899,81.7788,dark
20.417,128.3576,148.4373,dark
101.4586,83.3315,140.5991,dark
33.3414,130.4558,134.9233,dark
26.8745,62.0389,191.2156,dark
15.8158,148.9202,130.371,dark
34.4462,126.2315,149.1987,dark
41.9223,71.2319,147.0311,dark
16.9377,81.2388,115.7583,dark
31.5127,82.0864,56.1035,dark
65.0925,143.1117,108.1181,dark
37.0842,108.007,178.9482,dark
67.4747,87.3831,106.677,dark
14.5186,124.3083,138.2298,dark
33.321,122.7104,164.567,dark
23.6118,176.1029,72.1886,dark
35.0072,95.8607,181.5515,dark
25.3559,91.1675,163.5502,dark
15.9074,133.5953,125.2235,dark
67.9822,82.0295,117.4067,dark
52.7834,93.4238,58.7026,dark
20.3509,161.0257,101.5369,dark
41.7149,81.8599,137.8344,dark
34.8864,122.7311,131.618,dark
